,City,Country,Max Temp,Lat,Lng,Description,Hotel Name
640,Hit,IQ,82.51,33.6416,42.8251,clear sky,
663,Kankon,IN,77.74,15.0167,74.0167,overcast clouds,
667,Khirkiya,IN,74.44,22.1674,76.8605,overcast clouds,
671,Qandala,SO,82.85,11.472,49.8728,scattered clouds,
680,Lonar,IN,71.51,19.9833,76.5333,moderate rain,
682,Lahij,YE,80.49,13.1667,44.5833,broken clouds,
684,Goure,NE,86.54,13.9835,10.2704,overcast clouds,
689,Mehran,IR,86.11,33.1222,46.1646,clear sky,
690,Ijero,NG,77.23,6.4819,3.3803,few clouds,
694,Azare,NG,77.2,11.6765,10.1948,broken clouds,
699,Valvedditturai,LK,79.9,9.8167,80.1667,light rain,
707,Odweyne,SO,75.83,9.4092,45.064,overcast clouds,
712,Kefalos,GR,70.02,36.7453,26.9589,clear sky,
719,Jizan,SA,88.74,17.3333,42.6667,scattered clouds,
721,Cermik,TR,70.38,38.1361,39.4493,overcast clouds,
723,Owando,CG,71.22,-0.4819,15.8999,light rain,
724,Jablah,SY,70.09,35.3614,35.9256,clear sky,
728,Talaja,IN,81.45,21.35,72.05,scattered clouds,
730,Faqirwali,PK,78.98,29.4663,73.034,clear sky,
736,Zlitan,LY,72.82,32.4674,14.5687,clear sky,
741,Rabak,SD,78.35,13.1809,32.74,clear sky,
743,Zabid,YE,86.45,14.1951,43.3152,scattered clouds,
745,Qeshm,IR,84.09,26.9581,56.2719,clear sky,
754,Ilesha,NG,70.95,7.1371,5.2583,overcast clouds,
755,Islamkot,PK,80.29,24.6997,70.177,few clouds,
756,Ouargaye,BF,78.8,11.5033,0.0572,light rain,
758,Miram Shah,PK,72.18,33.0086,70.0697,clear sky,
759,Ikom,NG,73.31,5.9667,8.7063,moderate rain,
769,Madarounfa,NE,84.69,13.3087,7.156,overcast clouds,
770,Matara,LK,76.73,5.9485,80.5353,overcast clouds,
771,Gossaigaon,IN,73.8,26.4481,89.989,overcast clouds,
773,Uran,IN,82.36,18.8769,72.9397,overcast clouds,
781,Narsipatnam,IN,75.16,17.6667,82.6167,moderate rain,
783,Kalmunai,LK,78.24,7.4167,81.8167,overcast clouds,
788,Ratnagiri,IN,77.79,16.9833,73.3,overcast clouds,
792,Vadlapudi,IN,78.51,14.3167,79.8,overcast clouds,
795,Zuwarah,LY,73.72,32.9312,12.082,few clouds,
798,Tigzirt,DZ,70.25,36.8886,4.1198,scattered clouds,
803,Gwadar,PK,77.97,25.1216,62.3254,clear sky,
804,Illela,NG,82.29,13.7292,5.2975,few clouds,
808,Impfondo,CG,70.21,1.6381,18.0667,moderate rain,
812,Galle,LK,77.83,6.0367,80.217,overcast clouds,
815,Dubti,ET,88.21,11.7361,41.0853,overcast clouds,
